"id","question","img","answer","option1","option2","option3"
"1","Perro","https://cdn.britannica.com/02/198002-050-452BDBD2/West-Highland-White-Terrier.jpg","dog","rabbit","cat","rat"
"2","Casa","https://thumbor.forbes.com/thumbor/fit-in/900x510/https://www.forbes.com/advisor/wp-content/uploads/2021/08/download-23.jpg","house","hotel","camping","tend"
"3","Ventana","https://upload.wikimedia.org/wikipedia/commons/e/e2/Window_of_the_house_with_number_17_on_strada_M%C3%A2ntuleasa%2C_from_Bucharest_%28Romania%29.jpg","window","door","balcony","room"
"4","Vaso","https://upload.wikimedia.org/wikipedia/commons/8/88/Trinkglas%2C_Tumbler-Form.jpg","glass","cup","bottle","flask"
"5","Encendedor","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/White_lighter_with_flame.JPG/800px-White_lighter_with_flame.JPG","lighter","conflagration","bonfire","electricity"
"6","Electricidad","https://www.renovablesverdes.com/wp-content/uploads/2019/01/Rayos-y-electricidad.jpg","electricity","energy","battery","sunpower"
"7","Cocina","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Frankfurter-kueche-vienna.JPG/800px-Frankfurter-kueche-vienna.JPG","kitchen","salon","sofa","bench"
"8","Almohada","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Pillow_MET_DP275204.jpg/1280px-Pillow_MET_DP275204.jpg","pillow","headboard","bedding","bedspread"
"9","Billetera","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/WalletMpegMan.jpg/200px-WalletMpegMan.jpg","wallet","bag","pocket","backpack"
"10","Periodico","https://upload.wikimedia.org/wikipedia/commons/b/b7/Newspapers.jpg","newspaper","paper","sheet","pencil"
